Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
DD5610008B,2,-1,7,0,0,4,5,-1,,0E965AD2-C85E-4A83-AFAF-B5B48CEAB2DA,0,1,,7,11,2,12,0,8,0,30.0,0,2019.0,60,94,39.072779,-77.13819383,07:11:00,Wednesday,2023-09-13
MCP2797001R,2,-1,12,0,0,4,5,6,,7E3958D2-063F-4C95-8ADF-A3EDD1045F87,0,1,,7,11,5,1,21,5,0,35.0,0,2013.0,93,74,39.04352333,-77.05191,15:24:00,Tuesday,2018-01-09
MCP23470046,1,-1,16,0,0,4,1,6,,E4215910-EFA3-4AA3-9C95-03D0904407FD,0,3,,7,11,1,12,10,8,0,40.0,0,1999.0,55,406,39.08726795,-76.96098407,09:53:00,Thursday,2023-08-10
MCP3263003H,2,-1,7,0,-1,-1,1,7,,0CF77DCD-B6D2-42D6-AE62-A687A6CE57FF,2,1,,12,-1,6,9,13,1,3,5.0,0,2014.0,82,155,38.96473041,-77.10435433,14:00:00,Tuesday,2023-07-25
MCP2361002N,2,-1,9,0,0,4,5,6,,DBDC0AC0-E16D-4BD0-BE1B-9B864DAA730E,2,1,,7,11,5,12,13,0,2,35.0,0,2013.0,27,180,39.15092167,-77.20496833,19:43:00,Tuesday,2023-08-01
MCP2552006H,1,-1,7,0,0,1,-1,-1,,025B5151-0F79-4D41-B9B5-D7D95020D77B,0,1,,7,11,5,9,13,19,1,35.0,0,2018.0,50,424,39.05753833,-77.12624667,21:10:00,Saturday,2023-09-30
MCP2953001C,2,-1,9,0,0,4,1,6,,772721BD-59B8-424D-81C6-8BCC14C59403,0,1,,7,11,2,9,13,16,1,40.0,0,2005.0,96,58,39.08747333,-77.04506167,18:20:00,Tuesday,2017-04-04
MCP33040017,2,-1,11,0,0,1,5,6,,68C4616F-0ABC-410F-8020-007BFE9216F5,2,1,,5,11,3,12,13,16,2,25.0,0,2019.0,74,137,38.98600167,-77.09924833,21:05:00,Saturday,2023-09-16
MCP2016004W,2,-1,7,-1,-1,4,-1,7,,AD539B23-A5A4-4499-8A80-8EE7C95E58EC,2,1,,12,-1,6,9,13,1,1,10.0,0,2017.0,131,31,39.06201333,-77.12883667,15:30:00,Friday,2019-12-06
MCP31450020,1,-1,16,0,0,4,1,-1,,754544A3-E495-4444-A229-B6E1733EAC56,0,3,,7,11,0,4,13,8,1,45.0,0,1993.0,87,9,39.09734833,-77.00254333,16:40:00,Thursday,2019-11-28
MCP30580056,2,-1,15,4,4,2,1,6,,0346F4AB-C852-4FF6-8A6E-7286A6BF304A,2,1,"RAIN, SNOW, WET",4,11,1,6,13,8,1,40.0,0,2023.0,45,96,39.13731667,-77.12841333,22:48:00,Sunday,2023-12-17
MCP2622003Z,2,-1,16,0,0,4,4,6,,6B939E39-6220-4439-919F-D06A1F5EB958,2,1,,5,11,2,0,13,6,2,25.0,0,2012.0,50,162,39.1107449,-76.9335761,13:14:00,Tuesday,2023-11-28
MCP1378015G,2,-1,9,1,0,4,1,6,,DC3D1324-4F1A-4BA7-89F8-1E64B7B265A4,2,1,,7,11,2,9,14,2,1,40.0,0,2021.0,27,325,39.1021845,-77.1909875,15:40:00,Thursday,2023-08-24
MCP22030079,1,-1,16,0,0,4,5,6,,0E71F2E4-9DD7-4712-BDA5-4F8280F0AC04,0,2,,7,11,1,12,10,8,4,35.0,0,2015.0,41,384,39.04609633,-77.03231683,14:25:00,Monday,2023-09-11
EJ78940034,2,-1,9,0,0,4,1,6,,5020E3E9-6574-491C-9B05-68F8F75D049E,0,1,,7,11,2,9,13,16,4,25.0,0,2016.0,17,258,39.13346347,-77.20338598,10:47:00,Saturday,2023-07-15
MCP289200F9,1,-1,7,0,-1,1,-1,6,,57E1D45C-1D7D-468F-BAC2-9232D5ED9763,2,2,,7,11,1,12,13,18,3,0.0,0,2009.0,96,58,39.02506667,-77.04617667,21:54:00,Sunday,2023-10-01
MCP2832008K,2,-1,15,0,0,4,1,6,,7BAA53B8-8AC9-482C-882A-62B0F54FB8F9,2,1,,4,11,1,15,24,8,1,30.0,0,2019.0,27,433,39.030225,-77.16159683,12:01:00,Monday,2023-09-11
DM8499001V,2,-1,9,0,0,4,1,6,,7751BC4E-D75A-456B-9DD8-EC3923FFC1A6,2,1,,9,11,2,12,13,8,0,25.0,0,2015.0,50,162,38.978187,-76.99784,15:10:00,Monday,2023-07-03
MCP3353001D,2,-1,16,0,0,4,5,-1,,EDA6FDE8-E909-47BE-B4B8-9D582E9283A1,2,1,,5,11,1,6,13,5,0,40.0,0,2020.0,96,402,39.0931506,-77.19653287,13:10:00,Tuesday,2023-07-25
MCP3256002P,2,-1,3,0,-1,4,1,6,,D42121F7-7662-451E-8E76-738C5642C18E,0,1,,7,11,5,12,13,11,-1,0.0,1,2008.0,27,196,39.05243537,-76.95539311,16:15:00,Friday,2023-12-15
MCP33120047,2,-1,16,-1,4,4,1,6,,A17C2322-969D-4E87-9135-A10E6270BFF5,2,1,,5,11,2,12,13,5,2,35.0,0,2012.0,47,31,39.05854667,-76.99777833,07:15:00,Tuesday,2023-09-26
MCP3348001D,1,-1,9,0,0,4,-1,6,,51CCFEB0-2053-4C6D-9CC1-601E90262E8D,1,2,"N/A, PHYSICAL OBSTRUCTION(S)",7,11,1,12,0,16,4,45.0,0,2018.0,27,402,39.06935,-77.10493333,12:30:00,Saturday,2023-11-04
MCP28880027,2,-1,14,0,0,1,1,7,,9F37F7BE-7DC6-4909-A5DD-55874E1B5221,2,1,,12,-1,6,13,0,8,4,40.0,0,2005.0,41,466,39.07317207,-77.11136222,21:05:00,Friday,2023-12-08
MCP2635008N,1,-1,4,0,0,1,5,-1,,BBC80CE2-6A51-439C-81A9-AD0291CF174C,1,4,,12,11,0,12,13,8,2,40.0,0,2012.0,131,83,39.09057183,-77.04477517,19:53:00,Sunday,2023-11-19
