Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
DD5610008B,Property Damage Crash,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,0E965AD2-C85E-4A83-AFAF-B5B48CEAB2DA,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,30.0,No,2019.0,JEEP,CHEROKEE,39.072779,-77.13819383,07:11:00,Wednesday,2023-09-13
MCP2797001R,Property Damage Crash,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7E3958D2-063F-4C95-8ADF-A3EDD1045F87,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,ELEVEN OCLOCK,TRANSIT BUS,MAKING LEFT TURN,East,35.0,No,2013.0,NEW FLYER,BUS,39.04352333,-77.05191,15:24:00,Tuesday,2018-01-09
MCP23470046,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E4215910-EFA3-4AA3-9C95-03D0904407FD,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,OTHER,MOVING CONSTANT SPEED,East,40.0,No,1999.0,INTL,TOW TRUCK,39.08726795,-76.96098407,09:53:00,Thursday,2023-08-10
MCP3263003H,Property Damage Crash,,OTHER,CLEAR,,,NO CONTROLS,UNKNOWN,,0CF77DCD-B6D2-42D6-AE62-A687A6CE57FF,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,Unknown,5.0,No,2014.0,MERCEDEZ,E350,38.96473041,-77.10435433,14:00:00,Tuesday,2023-07-25
MCP2361002N,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,DBDC0AC0-E16D-4BD0-BE1B-9B864DAA730E,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,South,35.0,No,2013.0,FORD,EXPLORER,39.15092167,-77.20496833,19:43:00,Tuesday,2023-08-01
MCP2552006H,Injury Crash,,OTHER,CLEAR,DRY,DARK LIGHTS ON,,,,025B5151-0F79-4D41-B9B5-D7D95020D77B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,35.0,No,2018.0,HYUNDAI,TUSCON,39.05753833,-77.12624667,21:10:00,Saturday,2023-09-30
MCP2953001C,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,772721BD-59B8-424D-81C6-8BCC14C59403,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,40.0,No,2005.0,NISSAN,ALTIMA,39.08747333,-77.04506167,18:20:00,Tuesday,2017-04-04
MCP33040017,Property Damage Crash,,SAME DIR REND RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,68C4616F-0ABC-410F-8020-007BFE9216F5,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,NO DAMAGE,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,25.0,No,2019.0,MAZDA,CX3,38.98600167,-77.09924833,21:05:00,Saturday,2023-09-16
MCP2016004W,Property Damage Crash,,OTHER,,,DAYLIGHT,,UNKNOWN,,AD539B23-A5A4-4499-8A80-8EE7C95E58EC,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,North,10.0,No,2017.0,TOYOTA,4S,39.06201333,-77.12883667,15:30:00,Friday,2019-12-06
MCP31450020,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,754544A3-E495-4444-A229-B6E1733EAC56,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,DESTROYED,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45.0,No,1993.0,MITS,2S,39.09734833,-77.00254333,16:40:00,Thursday,2019-11-28
MCP30580056,Property Damage Crash,,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,0346F4AB-C852-4FF6-8A6E-7286A6BF304A,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",INATTENTIVE OR LOST IN THOUGHT,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40.0,No,2023.0,HONDA,CIVIC,39.13731667,-77.12841333,22:48:00,Sunday,2023-12-17
MCP2622003Z,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,6B939E39-6220-4439-919F-D06A1F5EB958,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,FUNCTIONAL,EIGHT OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,South,25.0,No,2012.0,HYUNDAI,ELANTRA,39.1107449,-76.9335761,13:14:00,Tuesday,2023-11-28
