Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP3019001X,2,-1,9,0,0,1,1,6,0,1,,7,12,2,9,11,17,4,30.0,0,2010.0,142,37,38.98798333,-77.07816167,21:15:00,Tuesday,2018-06-26
MCP2559003J,2,-1,9,1,7,4,-1,-1,0,1,"N/A, WET",7,12,2,9,11,17,0,40.0,0,2014.0,140,96,39.10225,-77.142295,08:42:00,Friday,2019-08-23
MCP3303000R,2,-1,16,0,0,4,1,6,0,1,"BACKUP DUE TO NON-RECURRING INCIDENT, N/A",7,12,5,10,11,7,4,35.0,0,2021.0,2,276,39.21502254,-77.2511562,17:35:00,Thursday,2021-10-07
MCP2934003L,2,-1,4,4,-1,1,1,6,0,1,"SLEET, HAIL, FREEZ. RAIN, WET",7,26,1,6,0,9,2,10.0,0,2014.0,100,347,39.02610667,-77.12646167,18:48:00,Sunday,2019-03-03
MCP9419002D,2,-1,16,4,7,4,5,6,2,1,"RAIN, SNOW, WET",5,12,1,12,0,6,4,40.0,0,2011.0,86,165,39.10751333,-77.18927167,10:37:00,Tuesday,2020-02-25
DD5662000J,2,-1,14,0,0,4,6,8,2,1,,12,-1,6,15,20,14,2,25.0,0,0.0,146,452,39.07014057,-77.13130218,18:38:00,Thursday,2023-09-21
DM8338001B,2,-1,9,4,7,4,4,-1,2,1,"RAIN, SNOW, WET",12,12,0,12,11,9,1,25.0,0,2017.0,4,47,38.98344,-77.00660667,18:53:00,Friday,2018-05-18
EJ77640007,2,-1,14,0,0,1,5,6,0,1,,7,12,5,13,8,8,2,40.0,0,2010.0,15,409,39.12260495,-77.17782319,22:15:00,Monday,2018-02-26
MCP9113005K,2,-1,15,7,-1,7,1,8,2,1,,12,-1,6,12,-1,21,4,0.0,0,0.0,146,452,39.06063667,-77.06504833,10:00:00,Thursday,2019-12-12
MCP2821002Q,2,-1,15,0,0,1,-1,1,2,1,,7,12,1,1,11,7,2,45.0,0,2016.0,7,37,39.14128833,-77.1522615,23:16:00,Thursday,2022-12-29
